"naziv"	"godina/mjesto rođenja/ smrti"	"sadržaj"
"Carl Robert Kummer"	"Drezden, 1810 - Drezden, 1889"	"Carl Robert Kummer bio je njemački pejzažni slikar i jedan od predstavnika druge generacije slikara romantizma. Školovao se u rodnom Drezdenu, a presudno iskustvo za njegovo formiranje bila su višegodišnja putovanja po Italiji (1832-1837), nakon čega se trajno vraća u Drezden. Tokom života intenzivno je putovao i stvarao studije pejzaža iz Austrije, Švajcarske, Hrvatske, Dalmacije, Škotske i Egipta, pri čemu je raznolikost prirodnih ambijenata snažno uticala na njegov slikarski izraz. Godine 1859. imenovan je za profesora u Drezdenu. Njegova djela danas se čuvaju u zbirkama poput Gemäldegalerie Neue Meister u Drezdenu i Kunstsammlungen Chemnitz."
"Cata (Katica) Dujšin Ribar "	"Trogir, 1897 - Zagreb, 1994"	"Slikarka, restauratorka, pjesnikinja. 1898. porodica se seli u Kotor, da bi se po izbijanju Prvog svjetskog rata vratila u Trogir. 1915. - 1917. nastanjuju se u Splitu, gdje nastavlja školovanje u Obrtničkoj školi. Od slikara Emila Vidovića dobija prve slikarske poduke. Od 1917 - 1921. studira na Umjetničkoj akademiji u Zagrebu, ali nije diplomirala zbog bolesti. 1924. - 1925. uči slikanje u ateljeu Vladimira Becića. U periodu 1941. - 1945. nekoliko je puta je hapšena zajedno sa suprugom, glumcem Dubravkom Dujšinom, koji umire dvije godine kasnije. 1948. godine upoznaje advokata i političara dr Ivana Ribara, za kojeg će se udati nekoliko godina kasnije. Studijski boravila u Parizu i Londonu. Radila kao restauratorka u Galeriji umjetnina u Splitu. Slikala pejzaže i portrete. 1976. poklanja gradu Zagrebu stan sa 203 umjetnička predmeta, biblioteku, rukopise i ostalu građu iz ostavštine dvojice supruga, a 1978. poklanja značajan broj radova gradu Trogiru.
Samostalno je izlagala širom Jugoslavije, u Londonu i Njujorku, a uporedo je objavljivala poeziju. Slikama je davala dramski i lirski prizvuk, pod uticajem impresionizma, a potom i snažnog ekspresionističkog izraza, slobodnijeg poteza i istančanog osjećaja za kolorit. "
"Charles Barbant"	"Pariz, 1844 - Pariz, 1921"	"Charles Barbant bio je francuski majstor drvoreza i ilustrator, jedan od najistaknutijih gravera svog vremena. Radio je za izdavačke kuće Hachette i Didot te za časopise Le Tour du Monde i L’Illustration, gdje je oživljavao prizore iz putopisne literature XIX vijeka. Njegove gravure, precizne i bogate detaljima, pratile su tekstove brojnih autora, među njima i Charlesa Yriartea, za čiju je knjigu Les Bords de l’Adriatique et le Monténégro urezivao prizore Boke Kotorske i Crne Gore."
"Charles Yriarte "	"Pariz, 1832 - Pariz,1898"	"Putopisac, novinar, publicista i slikar. 1859. godine pratio je špansku ekspediciju u Maroko, a 1860. na Siciliju i o tome u francuskim časopisima (Figaro, Temps, Tour du Monde, Le Monde illustré) objavljivao reportaže i crteže. Krajem sedamdesetih godina boravio u Istri, Dalmaciji, Hercegovini, kada je posjetio i Cetinje. Bio je prijatelj sa istaknutim pravnikom Valtazarom Bogišićem, zahvaljujući kome je i predstava Crne Gore bila realni odraz društvenih prilika. Autor je knjige „Jadranske obale i Crna Gora“ (1878) u kojoj su objavljene dvije karte i mnoštvo ilustracija na kojima je zabilježio tradicionalni način života i običaje. Njegov doprinos je značajan u pogledu uticaja na druge strane umjetnike za koje su nerijetko njegovi crteži služili kao predlošci slika."
"Christian Frederik Emil Eckardt"	"Kopenhagen, 1832 - 1914"	"Slikar. Aktivan u vrijeme „zlatnog“ doba danskog slikarstva. Slikao dominantno morske pejzaže i primorske motive, mada se bavio i portretom. Započeo studije umjetnosti u Kopenhagenu, a potom putovao u Minhen, Drezden, Veneciju i Rim kako bi se usavršavao. Debitovao na Pariškom salonu 1856. godine, gdje je ubrzo postao i redovni izlagač. U dva navrata dobio Neuhausen nagradu. Njegova djela odlikuje haromoničan kolorit."
"Cvetko Lainović"	"Podgorica, 1931 - Beograd, 2006"	"Studirao je slikarstvo u Ljubljani i Zagrebu. Diplomirao je 1954. na Akademiji likovnih umjetnosti u Zagrebu. Završio je studije matematike 1967. na Pedagoškoj akademiji u Nikšiću. Na početku slika u duhu poetskog realizma i intimizma,a potom ekspresionizma, da bi se šezdesetih godina usmjerio ka svedenom izrazu. slika pejzaže i figuralne kompozicije. bavio se i publicističkim radom. Samostalno izlagao u Titogradu/Podgorica, Nikšiću, Beogradu, Zagrebu, Njujorku, Parizu itd. Kolektivno je izlagao u zemlji i inostranstvu: SAD, Slovenija, Hrvatska, Italija, Francuska, Belgija, Egipat, Liban, Njemačka, Monte Karlo, Švajcarska, Tunis, Kipar, Turska, Mađarska. Dobitnih više nagrada među kojima su: Nagrada ALU, Zagreb (1954); Nagrada „13. novembar”, Cetinje (1965); Nagrada „19. decembar”, Titograd (1969); Trinaestojulska nagrada (1977). Bio je član ULUCG-a od 1956. i ULUS-a od 1970."
"Desanka Šaban"	"Cetinje, 1926 - Beograd, 2019"	"Slikarka. Studirala je u Parizu slikarstvo i keramiku kod Madam Sevinji, i u ateljeu na Monparnasu. Usavršavala se na putovanjima po Italiji, Francuskoj, Grčkoj, Danskoj, SAD i SSSR. Pripada prvoj generaciji školovanih umjetnica u Crnoj Gori. Uglavnom slikala pejzaže za koje je inspiraciju pronalazila u lokalnim predjelima. "
"Dobrivoje Bobo Samardžić"	"Mostar, 1932 - Mostar, 1993"	"Slikar, scenograf. Školovao se u Školi za Primjenjenu umjetnost u Sarajevu i Umjetničkoj školi u Herceg Novom. Slikao pejzaže i figuralne kompozicije u duhu  apstrakcije i ekpresionizma. Radio u Pozorištu lutaka u Mostaru."
"Đorđije Bato Pravilović  "	"Cetinje, 1925 - Herceg Novi, 2008"	"Slikar, likovni pedagog.  Završio je ALU u Beogradu. Bavio se pedagoškim radom - u Gimnaziji na Cetinju, Umjetničkoj školi u Herceg Novom i Pedagoškoj akademiji u Nikšiću. U slikarstvu je radio teme iz svakodnevnog života, a kao učesnik NOB-a kratko radio i djela ratne tematike. Krajem sedamdesetih godina usmjerava se ka nadrealnom i fantastičnom slikarstvu koje za inspiraciju ima primorsko podneblje, a nerijetko i aktove.  Samostalno izlagao uglavnom u Crnoj Gori, a učestvovao je na brojnim grupnim izložbama u Crnoj Gori i inostranstvu. Dobitnik je Trinaestojulske nagrade (1959); Nagrade Saveza boraca Jugoslavije, Beograd (1967, 1975); Nagrada Cetinjskog likovnog salona „13. novembar” (1968, 1973); Nagrade Memorijala „Nadežda Petrović”, Čačak (1968); Nagrade Hercegnovskog zimskog salona (1978). Bio je član ULUCG-a od 1953."
"Drago Simonović"		
