"naziv"	"godina/mjesto rođenja/ smrti"	"sadržaj"
"Mirko Kujačić"	"Nudo, kod Nikšića, 1901 - Mostar, 1987"	"Slikar, grafičar, a na početku karijere bavio se baletom, pionir socijalnog slikarstva. Po završetku Prvog svjetskog rata u Beogradu upisuje Tehnički i Filozofski fakultet – istorija umjetnosti i Glumačko-baletsku školu (1923). 1924. godine upisuje Umetničku školu, kod profesora Tome Rosandića, a 1925. godine odlazi u Pariz i usavršava se na Académie Julian, Académie de la Grand Chaummiére, kao i na kursevima kod vajara Antona Burdela i likovnog pedagoga Andre Lota. Po povratku u Beograd, 1929. pridružuje se grupi „Oblik” i priređuje prvu samostalnu izložbu u Umetničkom paviljonu. Kratko boravi na Cetinju (1930.) gdje radi kao scenograf u Banskom pozorištu. Po povratku u Beograd, 1931. predaje u privatnoj gimnaziji. Bio je član grupe „Život”, a učestvuje i u osnivanju „Nezavisnog salona”. Ponovo je u Parizu 1937. godine. Bio je član grupe „Maison de la culture”. Ratni period provodi u zatvorima i zarobljeništvu u Italiji. Od 1944. do 1948. godine živi u Ljubljani, potom se vraća u Crnu Goru i predaje na Umjetničkoj školi na Cetinju, a zatim u Herceg Novom (1948-1951). Od 1951. godine živi i stvara u Mostaru, bio je scenograf u Narodnom pozorištu i direktor Uprave za zaštitu spomeničke kulture za Hercegovinu. 
Njegovo rano stvaralaštvo karakteriše izrazito angažovan pristup umjetnosti, što je predstavljeno izložbom 1932. godine u Umetničkom paviljonu u Beogradu, koja je označena kao vrlo radikalna. Na njoj je, pored slika na platnu, ravnopravno prezentovana uokvirena i uramljena radnička cokula pod nazivom “Zimski motiv”. Ovim činom pokrenuo je duh napredne umjetnosti i podstakao udaljavanje od larpurlartizma. Na izložbi je pročitao Manifest koji će biti proglas slikara socijalnih tendencija okupljenih oko grupe „Život”. Izdao je 1934. godine mapu grafika “Ribari” (21 drvorez i linorez). Bez obzira na medij i stil njegovu umjetnost karakteriše snažna ekspresija.
Za njegov opus karakteristični su portreti i autoportreti, ali je jednako uspjelo radio i pejzaže.
"
"Nepoznati autor"		
"Nikica Raičević"	"Podgorica, 1946"	"Slikar. 1972 godine završio je Pedagošku akademiju u Nikšiću, likovni smjer. Diplomirao je na FLU u Beogradu, 1977. godine u klasi profesora Mladena Srbinovića, gdje je završio i postdiplomske studije dvije godine kasnije. Kao stipendista francuske vlade, usavršavao se na L’École Nationale Supérieure de Beaux-Arts u Parizu, kod profesora Piera Mattheua (1980/81). Studijski boravio u Italiji, Španiji, Francuskoj, Holandiji, Švajcarskoj, Grčkoj, Engleskoj. Bio je član „Generacije 9”. Bio je zaposlen u Kulturno-informativnom centru ""Budo Tomoć"" i Muzejima i galerijama Podgorice. Izlagao u zemlji i inostranstvu. Dobitnik je više nagrada, među kojima su Nagrada oslobođenja Titograda „19. decembar” (1979), Nagrada Hercegnovskog zimskog salona (1984). Član je ULUCG od 1977. godine."
"Niko Đurović"	"Podgorica, 1905 - Titograd, 1989"	"Slikar, illustrator, grafičar. Završio je Umetničku školu u Beogradu, 1926. godine, kod profesorâ Ljube Ivanovića i Bete Vukanović. Likovno obrazovanje nastavlja 1927. godine u Rimu, gdje radi u ateljeu kod slikara Pera Počeka. Od 1928. godine živi u Zagrebu, gdje se bavi izradom plakata, ilustracija, kataloga, oprema knjige, kako bi se izdržavao. Nakon izbijanja Drugog svjetskog rata vraća se u Crnu Goru i priključuje NOB-u. Po završetku rata radi u Ateljeu Ministarstva prosvjete NRCG, a predaje i u Titogradu. Izrađuje plakate i crteže inspirisane motivima Titograda, ali i atmosferom poslijeratnog perioda obnove i izgradnje zemlje. Naročito je bio posvećen slikanju u tehnici pastela i akvarela u kojima ostvaruje magličaste, prozračne predstave, što će biti prepoznatljiva karakteristika njegovog izraza. Učestvovao je na značajnim grupnim izložbama u Crnoj Gori, brojnim gradovima bivše Jugoslavije i u inostranstvu. Dobitnik je više državnih nagrada. Bio je jedan od osnivača ULUCG-a (1946) i član prvog Umjetničkog savjeta. Bio je član Inicijativnog odbora za formiranje SLUJ-a (Zagreb, 1947).
Tokom prvih nekoliko decenija slika po klasičnom uzoru sa romantičnom gamom. Tek sredinom sedamdesetih njegovo slikarstvo dobija drugačiji pravac. Glavna tema postaje Skadarsko jezero, koje ga inspiriše za nova istraživanja i poetska uobličavanja predstava na granici između realnosti i fikcije predjela. Slikajući na prelazu od naturalizma ka poetskom realizmu bira izrazito svjetli, pastelni kolorit uz koji slikama udahnjuje magličastu auru. Svjetlost prekriva sliku, razlivajući se po čitavom platnu. Pejzaži, a naročito lišajevi i lokvanji koje neumorno slika izraz su poetične i pomalo sentimentalne umjetnikove impresije."
"Nikola Vujošević"	"Podgorica, 1929 - Podgorica, 2020"	"Slikar, likovni pedagog, likovni kritičar. Učio slikarstvo u ateljeu Ministarstva NRCG na Cetinju, a potom diplomirao na Akademiji likovnih umetnosti u Beogradu, 1953. godine. Bavio se pedagoškim radom. Slikao portrete, mrtve prirode, ali je najpoznatiji po pejzažima, naročito ciklusu inspirisanom rijekom Moračom i kanjonom Platija, kojem se posvećuje od sedamdesetih godina XX vijeka. Autor je više knjiga: ""Sa likovnih obzorja"", ""Memento-crnogorska moderna umjetnost"",""Magika kanjona"". Izlagao širom Crne Gore na 24 samostalne izložbe, i preko 200 kolektivnih predstavljanja u zemlji i inostranstvu. Dobitnik je velikog broja nagrada među kojima su: Nagrada oslobođenja Titograda (1964); Nagrada Likovnog salona „13. novembar”, Cetinje (1967); Nagrada Hercegnovskog zimskog salona (1971); Trinaestojulska nagrada (1973); Orden zasluga za narod sa srebrnim zracima (1979); Nagrada „NOB u delima likovnih umetnika”, Beograd (1981); Zlatna plaketa ULP Crne Gore (1981); Plaketa ULUCG-a povodom četrdesetogodišnjice osnivanja (1986); Nagrada Salona jugoslovenske umjetnosti, Cetinje (1991).
"
"Oldřich Koníček"	"Kutná Hora, 1886 - Žehuň, 1932"	"Češki slikar pejzažist i figuralista, član S.V.U. Mánes. Školovao se na Akademiji likovnih umjetnosti u Pragu, a ključna prekretnica u njegovom razvoju bila je posjeta Parizu 1911. godine. Tokom Prvog svjetskog rata služio je kao oficir austrougarske vojske, potom je radio na državnoj narudžbi prikaza bojišta čehoslovačkih legionara. Njegovo slikarstvo razvijalo se od impresionističkih početaka, preko neoklasicističkog smirenja, ka kasnijem, koloristički slobodnijem izrazu, s čestim motivima pejzaža i južnih gradova, uključujući i Boku Kotorsku."
"Olga Bogdanović"	"Beograd, 1913 - Beograd, 1993"	"Završila Umetničku školu u Beogradu. Između dva svjetska rata boravila u Parizu, gdje je upoznala slikara Mila Milunovića za kojeg se udala 1932. godine. U periodu nakon Drugog svjetskog rata jedno vrijeme boravila i stvarala na Cetinju. Osim slika radila je u tehnici pastela i akvarela u duhu intimističkog stila. Uglavnom slikala pejzaže i mrtve prirode. Bila je članica ULUCG i ULUS-a. "
"Pero Poček"	"Cetinje, 1878 - Rim, 1963"	"Slikar. Zahvaljujući podršci knjaza Nikole uči slikarstvo u Italiji, na Institutu lijepih umjetnosti u Napulju, kod profesora Domenika Morelija, (1897-1903), u duhu akademskog realizma. Bira teme iz crnogorske istorije, a slika i pejzaže, portrete, mrtve prirode, figuralne kompozicije. No, pod uticajem Mediterana postepeno rasvjetljava paletu, usmjeravajući se ka impresionizmu. Učestvuje na izložbama južnoslovenskih i balkanskih umjetnika od 1907. do 1914. godine širom Evrope (London, Amsterdam, Venecija, Napulj, Rim, Beograd, Sofija). Po povratku u Crnu Goru u Biljardi, u sali Ministarstva vojnog, priređuje izložbu koju je otvorio knjaz Nikola. Knjaz ga 1908. odlikuje Danilovim ordenom IV stepena. Nakon izložbe u Londonu, ženi se i stalno nastanjuje u mjestu Rocca di Papa u blizini Rima i intenzivno slika. Naslikao je i 37 scena iz ""Gorskog vijenca"", realizovanih u tamnoj gami, sa snažnim prizvukom dramatičnosti i folklora, neujednačenog stilskog kvaliteta, nastojeći da ne odstupi od što preciznije ilustracije tekstualnog predloška. Radovi iz ovog ciklusa nalaze se u fondu Njegoševog muzeja - Biljarde na Cetinju."
"Petar Lubarda "	"Ljubotinj, 1907 - Beograd, 1974"	"Slikar, likovni pedagog. Osnovno i srednje obrazovanje sticao je u Ljubotinju, Cetinju, Herceg Novom, Šibeniku, Sinju i Nikšiću. Umetničku školu u Beogradu upisao je 1925. godine, kod profesorâ Ilije Šobajića, Ljube Ivanovića, Bete Vukanović. Već 1926. godine odlazi u Pariz, gdje kratko pohađa Académie des Beaux-Arts, potom nastavlja da samostalno uči slikarstvo, obilazeći pariske muzeje i galerije. U Parizu će boraviti više puta. Prvu samostalnu izložbu otvara u Rimu 1929. godine. Vraća se u Jugoslaviju 1932. godine i nakon kraćeg boravka u Crnoj Gori, odlazi za Beograd, gdje će se trajno nastaniti 1950. godine. Bio je član udruženja „Lada” (1938). 
Njegov slikarski opus nastao u periodu dvadesetih i tridesetih godina XX vijeka obuhvata pejzaže sa motivima iz Crne Gore, Dubrovnika i Pariza; portrete, cvijeće i mrtve prirode u duhu poetskog realizma i intimizma sa naznakama ekspresionizma i nadrealizma. Rane radove karakteriše taman kolorit; u narednoj fazi su izrazitiji kontrasti svijetlo-tamno, dok u kasnijim decenijama preovladava čista boja. Period rata provodi u zarobljeništvu u Njemačkoj i Italiji. Tokom boravka u Crnoj Gori krajem četrdesetih godina na Cetinju učestvuje u osnivanju Ateljea Ministarstva prosvete, a potom i Umjetničke škole, gdje je bio prvi direktor i Udruženja likovnih umjetnika Crne Gore. U poslijeratnom periodu radi pejzaže i slike sa socrealističkom tematikom. Period do sredine pedesetih godina smatra se najznačajnijim, a to je vrijeme i kada pravi intenzivniji zaokret ka apstrakciji. Inspiraciju nalazi u crnogorskim predjelima, a prikazuje i teme istorijskih bitaka, dok se njegov način slikanja mijenja u kasnijim godinama pod uticajem novih iskustava koja stiče na putovanjima.
Dva puta je izlagao na Bijenalu u Veneciji (1950. i 1960). Bio je član likovne grupe „Samostalni” (1951). Dobitnik je brojnih nacionalnih i međunarodnih nagrada među kojima su Internacionalna otkupna nagrada na II Bijenalu, Sao Paolo (1953); Nagrada na III bijenalu, Tokio (1955); Nacionalna nagrada Gugenhajm, Njujork (1956). Bio je počasni građanin Slovenj Gradeca i Kragujevca, redovni član SANU (1961) i JAZU. Na Cetinju je 1998. osnovana Srednja likovna škola koja nosi njegovo ime, a 2010. godine je nastala Fondacija „Petar Lubarda”. "
"Petar Martinović"	"Cetinje, 1932 - Podgorica, 2011"	"Grafičar, a bavio se ilustracijom i crtežom. Pripadnik prve generacije umjetnika školovanih u Crnoj Gori, u Umjetničkoj školi na Cetinju koja je potom preseljena u Herceg Novi gdje je i završio, 1950 godine. Studirao na Pedagoškoj akademiji u Nikšiću, a studijski boravio u Parizu. Uglavnom radio pejzaže i djela sa temama iz kulturne baštine. Samostalno izlagao na Cetinju, Titogradu, Tjentištu, Zagrebu, a kolektivno u mnogim gradovima Jugoslavije. Dobitnik više nagrada za umjetnost i grafički dizajn."
"Philip Eugen Ankelen "	"Laupheim, 1858 - Tegernsee, 1942 "	"Njemački slikar, ilustrator i grafičar. Studirao je na Akademiji likovnih umjetnosti u Štutgartu, potom na Kraljevskoj akademiji u Minhenu, a nakon studija putovao je po Evropi. Bio je član Opšte njemačke umjetničke zadruge i bavio se i književnim radom. "
"Pierre Eugène Grandsire"	"Orlean, 1825 - Pariz, 1905"	"Slikar, ilustrator. Autor poznat po svojim pejzažima i vedutama, ali i ilustracijama koje je radio za vodeće francuske časopise i publikacije tog vremena - uključujući Le Tour du Monde, Le Monde illustré i druge popularne časopise putopisno-reportažnog tipa. Njegovo obrazovanje uključivalo je studije kod francuskih slikara, a njegove ilustracije i prikazi gradova, pejzaža i luka bile su vrlo cijenjene u krugovima publike tog vremena. Redovno je izlagao u Salonu u Parizu od 1850. godine, dobitnik je Legije časti (Chevalier de la Légion d’Honneur) 1874. godine za doprinos umjetnosti. Osim slika i akvarela, stvara crteže koji su često reprodukovani kao bakrorezi/litografije u časopisima i putopisnim izdanjima."
"Robert Lenard"	"Krefeld, 1879 - Budimpešta, 1936"	"Crtač i grafičar aktivan u prvim decenijama 20. vijeka, poznat po dokumentarnim i reportažnim prikazima prostora i ljudi u vremenu političkih previranja. Djelovao je u širem kulturnom krugu Austrougarske i njenih nasljednih država, gdje je kroz crteže i grafike bilježio urbane prizore, vojna kretanja, okupacione i poslijeratne situacije, kao i svakodnevicu u područjima zahvaćenim ratom. U Crnu Goru došao 1916. godine sa austrougarskom vojskom i tokom boravka napravio veliki broj crteža crnogorskih predjela. Njegov rad se odlikuje neposrednim, skiciranim stilom i interesovanjem za „teren“, što ga svrstava među autore koji su umjetničkim sredstvima svjedočili vojnim i političkim okolnostima Evrope nakon Prvog svjetskog rata."
"Rudolf Kargl"	"Beč, 1878 - Mödling, 1942"	"Rudolf Kargl (Austrija, 1913 – 1996) bio je austrijski slikar i grafičar, školovan na Akademiji likovnih umjetnosti u Beču. Najpoznatiji je po pejzažima i marinskim motivima, koje je slikao u realističkom, ali slikarski rafiniranom maniru. Putovao je Sredozemljem, uključujući obalu Jadrana i Crnu Goru, gdje je stvarao vedute obasjane mekim svjetlom juga."
"Rudolf von Alt "	"Beč, 1812 - Beč, 1905"	"Slikar. Sin litografa Jakoba i brat slikara Franca Alta. Studirao na Akademiji umjetnosti u Beču. Zahvaljujući studijskim putovanjima po Alpima razvio sklonost ka predstavljanju pejzaža, a u Italiji se zainteresovao za slikanje arhitekture. Radio u akvarelu, vrlo realistično i detaljno. U kasnijim djelima uočava se uticaj impresionizma. Putovao po Galiciji (današnjoj Poljskoj), Češkoj, Dalmaciji, a boravio je i na Krimu. Njegovi akvareli, prožeti atmosferom i pažnjom prema detalju, predstavljaju spoj dokumentarnog i poetskog, čineći ga jednim od najistaknutijih hroničara evropskih prostora svog vremena."
"Savo Vujović"	"Cetinje, 1900 - Titograd, 1973  "	"Slikar i grafičar. Prva znanja o slikarstvu, još kao mladić dobio od slikara Mila Milunovića. Studirao na Umetničkoj školi u Beogradu, kod profesorâ Ljube Ivanovića, Ilije Šobajića, a potom školovanje nastavlja u Pragu (1921-1924). Prvu samostalnu izložbu imao je 1921. godine u Zetskom domu na Cetinju, sa vajarem Jankom Brajovićem. Od 1924. radi kao učitelj vještina u Gimnaziji na Cetinju i drugim školama u Crnoj Gori. Od 1925. godine postaje scenograf u pozorištu na Cetinju, a nakon rata i u Crnogorskom narodnom pozorištu. Izrađivao je diplome, plakate, nacrte za dekor na zabavama, bio je autor i grafičke mape „Motivi iz Crne Gore” (1926). Bavio se i karikaturom, inicirao i prvi humoristički list u Crnoj Gori – “Mali Radojica” (1926-1928). Izlaže na prvoj izložbi Udruženja likovnih umetnika u Beogradu 1927. godine i učestvuje na svim Prolećnim i Jesenjim izložbama. Tokom Drugog svjetskog rata živi u Ljubljani i predaje u Gimnaziji. Jedan je od inicijatora formiranja ULUCG-a gdje mu je 1957. godine organizovana jubilarna izložba. Početkom šezdesetih godina predaje na Umjetničkoj školi u Herceg Novom.
U njegovom opusu prepoznaju se stilski uticaji nekoliko pravaca: impresionizma, poentilizma, sezanizma i poetskog realizma, dok se u kasnijim radovima – naročito na crtežima i grafikama u geometrizovanim formama mogu uočiti elementi kubizma, sve do apstrakcije. 
"
"Sreten Stojanović"	"Prijedor, 1898 - Beograd, 1960"	"Vajar, crtač, akvarelista, teoretičar, pedagog. Zbog svojih revolucionarnih stavova istjeran je iz Gimnazije u Banja Luci, a ratni period proveo u zatvoru. Pripadao je organizaciji ""Mlada Bosna"". U Beču je studirao slikanje i vajanje, a potom u Parizu kod Emila Burdela. Bio je jedan od prvih profesora na Akademiji likovnih umetnosti u Beogradu. Bio je član SANU."
"T. Taylor (atrib.)"		"Taylor (atrib.) – autor crteža potpisan kao Taylor ili T. Taylor; iako je potpis prisutan na većini ilustracija u knjizi Les Bords de l’Adriatique et le Monténégro, puna biografska identifikacija autora nije pouzdano utvrđena u dostupnim izvorima."
"Tomislav Krizman"	"Orlovac kraj Karlovca, 1882 - Zagreb, 1955"	"Slikar, grafičar, dizajner i scenograf. Učio je slikarstvo i grafiku kod Bele Čikoš-Sesije i Mencija Klementa Crnčića u Zagrebu, a potom studirao na Školi za umjetnost i obrt (1903-07) i Akademiji u Beču. Usavršavao se putujući Evropom, gdje je crtao i fotografisao predloške za grafike. Tokom studija se upoznao sa umjetničkom i književnom avangardom (bečkom secesijom). Od 1912. predavao je na Obrtnoj školi, a od 1922. do smrti predavao je grafiku na Akademiji likovnih umjetnosti u Zagrebu. Bio je redovni član JAZU (danas HAZU). Učestvovao je u formiranju društva likovnih umjetnika “Medulić”, Proljećnoga salona (1916) i umjetničkog udruženja “Djelo”. Bio je jedan od utemeljivača grafike u Hrvatskoj.
Glavne teme bile su mrtve prirode, portreti i pejzaži, a izražavao se u različitim tehnikama - od ulja, tempere do akvarela. Najpoznatiji po grafikama, koje karakterišu široke plohe, realistički tretman motiva i prilagođavanje tradicionalne ornamentike savremenom izrazu uz primjese art dekoa. Objavio je i knjigu ""O grafičkim vještinama"" (1952). Opremao je i ilustrovao knjige i časopise, radio nacrte za diplome, plakete, kataloge, plakate, porculan i staklo; radio je scenografiju i kostimografiju dramskih i brojnih opersih djela. "
"Ugo Pogatschniggo"		"Nisu pronađeni biografski podaci."
"Vehbija Vehbo Bambur"	"Pljevlja, 1937"	"Slikar i arhitekta. Diplomirao arhitekturu u Sarajevu. Nakon boravka u Pljevljima seli se u Beograd gdje i danas živi. Slikarstvom se bavi od školskih dana. Imao je desetak samostalnih i učestvovao na više kolektivnih izložbi u zemlji i inostranstvu. Dobitnik nekoliko nagrada."
"Velimir Veliša Leković"	"Godinje, Bar, 1910 - 1971"	"Slikar i pedagog. Školovao se na Umetničkoj školi u Beogradu (1934-1938), Odsjek za nastavnike, a zatim na Umetničkoj akademiji (1938-1941), Odsjek slikarstvo. Po povratku u Crnu Goru zapošljava se u Umjetničkoj školi, najprije na Cetinju a potom u Herceg Novom. U periodu od 1953-1963. godine bio je profesor likovnog obrazovanja u Gimnaziji u Baru, a potom je radio u Zavičajnom muzeju Bar. Izražavao se u različitim tehnikama – od ulja, preko akvarela, crteža, grafike, a najbrojniji su radovi urađeni pastelom. Različite su teme kojima se bavio. Samostalno je izlagao uglavnom u Crnoj Gori, ali je učestvovao na brojnim kolektivnim izložbama u zemlji i inostranstvu (Italija, Francuska, Egipat, Tunis, Turska, Bugarska). Bio je član ULUCG-a od 1946. Gradska galerija u Baru nosi njegovo ime. 
"
"Vera Lubarda "	"Prijepolje, 1924 - Beograd, 2008"	"Slikarka. Studirala je slikarstvo na ALU u Beogradu, u klasi profesora Mila Milunovića. Bila je druga supruga slikara Petra Lubarde, a često je pisala priloge o njegovim izložbama. Slikala je pejzaže i mrtve prirode u duhu poetskog realizma. Od 1947. do 1950. godine učestvovala je na izložbama ULUCG-a.
"
"Veselin Venjo Bastać"	"Cetinje, 1938 - Cetinje, 2014"	"Slikar i likovni pedagog. Završio je Umjetničku školu u Herceg Novom 1959. godine, nakon čega je profesionalni vijek proveo kao nastavnik likovnog vaspitanja na Cetinju. U svom stvaralaštvu ostao je dosljedan poetici klasičnog modernizma, sa izraženim elementima pseudoimpresionizma, radeći u tehnikama akvarela, tempere i ulja. Dominantne teme bile su pejzaži i portreti."
"Vojislav Đokić"	"Beograd, 1902 - Herceg Novi, 1984"	"Arhitekta, a bavio se slikarstvom. Diplomirao je na Školi lijepih umjetnosti (L’École des Beaux-Arts) u Parizu (1928). Radio je u Beogradu kao samostalni autor (1928–1941), uglavnom projektujući privatne vile. Tokom Drugog svjetskog rata bio je u zarobljeništvu u Njemačkoj, a po njegovom završetku preselio se u Herceg Novi i radio u Crnoj Gori. U Crnoj Gori realizovao brojne objekte i spomenike: zgrada MUP-a u Titogradu (1950); sanatorijum u Brezoviku i bolnički paviljoni u Nikšiću; Dom kulture u Kolašinu; Spomenik palim borcima u Kotoru; Spomenik partizanu borcu na brdu Gorica u Titogradu (1957), u saradnji sa vajarom Dragoljubom Dragom Đurovićem. U saradnji sa slikarem Milom Milunovićem projektovao je zgradu Umjetničkog paviljona u Titogradu (danas Podgorici). Sa grupom arhitekata učestvovao je u adaptaciji turističkog naselja Sveti Stefan. Radio je na restauraciji Biljarde na Cetinju (1951),  Palate Bujović u Perastu i Kuće Iva Andrića u Herceg Novom (1963). 
Bavio se slikarstvom u duhu impresionizma, predstavljajući mediteranske ambijente Boke i primorja a aktivno je izlagao."
"Vojislav Vojo Stanić"	"Podgorica, 1924 - Herceg Novi, 2024"	"Slikar i vajar. Završio vajarstvo na ALU u Beogradu, u klasi profesora Lojze Dolinara (1951). Predavao je na Umjetničkoj školi u Herceg Novom, a 1958. godine postaje profesor na Višoj pedagoškoj školi u Nikšiću, Odsjek za likovno vaspitanje. Učestvovao je u NOB-u. Studijski boravio u Italiji 1973. godine, gdje se upoznaje sa slikarstvom Đorđa de Kirika, koje će značajno uticati na njegov rad. Svega nekoliko godina se bavio skulpturom a potom se trajno usmjerava ka slikarstvu. Njegovo stvaralaštvo imalo je odlike specifične figuracije, sa snažnim prizvukom metafore, sa temama iz neposrednog okruženja. Izlagao širom evrope - Beograd, Rim, Zagreb, Berlin, Vašington, Moskva, Prag, London, Oslo, Budimpešta, Peking, Šangaj, Dubai, Monako, Njujork, Venecija - XLVII Venecijansko bijenale.
Dobitnik je brojnih nagrada među kojima su Nagrada AVNOJ-a, Beograd (1966); Nagrade grada Zagreba (1966); Nagrade Cetinjskog likovnog salona „13. novembar”, Cetinje (1968); Politikine nagrade za slikarstvo, Beograd (1970); Oktobarske nagrade grada Herceg Novog (1974); Nagrade Memorijala „Milena Pavlović-Barili”, Požarevac (1989); Trinaestojulske nagrade za životno djelo (2014). Bio je član DANU i CANU.
"
"Vuko Radović"	"Kolašin, 1911 - Podgorica,1996"	"Studirao je Umetničku školu u Beogradu, kod profesora Ljube Ivanovića i Ilije Šobajića. Po povratku u Crnu Goru radio kao profesor crtanja u Nikšiću i Kolašinu. 
Učestvovao u Drugom svjetskom ratu, bavio se kulturnim radom i obrađivao informacije za partizanske jedinice. Bio je dobitnik više nagrada i priznanja, među kojima su Spomenica 1941. godine, Trinaestojulska i nagrada AVNOJ-a. Nakon rata je obavljao brojne javne funkcije među kojima je i predsjednik Savjeta za kulturu Crne Gore. Bio je član CANU, učesnik Trinaestojulskog ustanka, jedan od osnivača ULUCG, čiji je predsjednik bio u jednom periodu. U toku okupacije uništen je njegov atelje pa je sačuvano vrlo malo radova iz ranog perioda. Na osnovu dostupnih djela - uglavnom akvarela i crteža olovkom primjetan je uticaj Ljube Ivanovića. Pedesetih godina nastupa razvoj njegovog stvaralaštva. Slikao je uglavnom crnogorske pejzaže - od Pive, Tare do Kolašina, sve do primorskih područja. Ipak, najprepoznatljiviji je po seriji radova inspirisanih kanjonom Platija."
"Adolf Chelius"	"Frankufrt, 1856 - Minhen, 1923"	"Njemački slikar i akvarelista. Studirao na umjetničkim akademijama u Berlinu i Beču, nakon čega je pohađao Städel Art Institute u Frankfurtu na Majni. Upoznao se sa djelom Antona Burgera i povezao sa umjetničkom kolonijom Kronberg. 1882. godine se preselio u Minhen, a u periodu od 1885. do 1895. godine putovao u Palermo, Madrid, St. Piterzburg i Sjeverni rt. Došao je u Crnu Goru po preporuci kneza Arnufa Bavarskog i tokom boravka napravio čitav album slika crnogorskih predjela. Kralj Nikola ga je odlikovao Danilovim ordenom IV stepena. "
"Marko Stupar"	"Bosanski Petrovac, 1936 - Pariz, 2021"	"Slikar. Upisao Gimnaziju u Banja Luci. U periodu od 1961-64. živi u Beogradu, gdje počinje studije slikarstva, a potom odlazi u Pariz, gdje će se trajno nastaniti. 1966. godine ima prvu izložbu u Francuskoj a potom izlaže širom svijeta - od Buenos Airesa, Lime, Bogote, Paname, Meksika, Njujorka, Osake... Na Salonu francuskih umjetnika dobija Zlatnu medalju, 1981. godine."
"Slobodan Puro Đurić"	"Cetinje, 1935 - Cetinje, 2025"	"Slikar i društveno politički radnik, jedan od istaknutih predstavnika savremene likovne umjetnosti u Crnoj Gori. Likovno obrazovanje stekao je u Umjetničkoj školi u Herceg Novom, na Pedagoškoj akademiji u Nikšiću i na Cetinju, a usavršavao se tokom studijskih boravaka u Francuskoj, Italiji, SSSR-u, Španiji i Grčkoj. U svom opusu razvio je prepoznatljiv slikarski jezik u kojem se prepliću realno i fantastično, proživljeno i izmaštano, stvarajući nadrealan doživljaj svijeta, prirode oko i unutar čovjeka. Posebno mjesto u njegovom stvaralaštvu zauzimaju motivi Budve, Cetinja, crnogorskog primorja i Skadarskog jezera, kroz koje autor gradi intimističke, lirske i ekspresivne vizije prostora, prožete simbolikom i slojevima ličnog i kolektivnog pamćenja."
"Filip Janković"	"Podgorica, 1935 "	"Slikar i likovni pedagog. Pohađao srednju školu u Titogradu (1950–1952) i Beogradu (1952–1954). Završio je Akadamiju likovnih umetnosti u Beogradu 1960, kod profesorice Ljubice Sokić i profesora Marka Čelebonovića, Mila Milunovića i Nedeljka Gvozdenovića. Završio je specijalni tečaj na istoj akademiji 1964. godine. Po povratku u Crnu Goru bio je profesor na Pedagoškoj akademiji u Nikšiću (1964–1969), a potom u osnovnoj školi u Podgorici (1969–1979). Usavršavao se na Akademiji u Parizu (1970–1971). Od 1986. do 1990. godine živio u Manhajmu (Njemačka). Studijski je boravio u Grčkoj, Holandiji, Italiji, Rusiji i Engleskoj. Dominantne teme koje razređuje tokom čitavog stvaralačkog opusa (koji i dalje traje) su mrtve prirode, cvijeće, portreti i pejzaži, koje realizuje u duhu ekspresionističkog i apstraktnog izraza, dok kolorit varira od tamnih intenzivnih do prozračnih, pastelnih tonova. Imao veliki broj samostalnih izložbi, među kojima je više predstavljanja u Beogradu, Titogradu/Podgorici, Nikšiću, Herceg Novom, Kotoru, potom izložbe u Cetinju, Zagrebu, Njujorku, Tivtu, Štutgartu, Manhajmu, itd. Učestvovao i na velikom broju grupnih izložbi u zemlji i inostranstvu: Crna Gora, Srbija, Francuska, Rumunija, BiH, Hrvatska, Italija, SSSR, Danska, zemlje Sjeverne Afrike, Kipar, Austrija, Slovenija, Njemačka, SAD... Dobitnik većeg broja nagrada i priznanja: Nagrada lista Naš vesnik, Beograd (1954); Nagrada Univerzitetskog odbora, Beograd (1959); Nagrada oslobođenja Titograda (1965); Trinaestojulska nagrada (1970); Orden rada sa zlatnim vijencem Predsjedništva SFRJ (1986); Nagrada ULUCG-a (1991); Nagrada „Petar Lubarda” (2015). Ima status istaknutog kulturnog stvaraoca. Član je ULUCG-a od 1964. godine."
"Bartolomeo Rodolfo Linassi"		"Bartolomeo Rodolfo Linassi bio je italijanski crtač, grafičar i izdavač aktivan u prvoj polovini XIX vijeka, poznat prvenstveno po vedutama i panoramskim prikazima gradova i obalnih područja Jadrana. Djelovao je u okviru tada snažne tradicije topografske i putopisne grafike, u kojoj su vedute imale i dokumentarnu i popularno-edukativnu funkciju. Ne postoje pouzdani biografski podaci."
